job_title,company,industry,location,required_skills,experience_level,salary_range,job_description,posting_date,demand_label,Certificates,skill_count,salary_avg
ml engineer,Company_22,healthcare,bangalore,"Power BI, Excel, SQL",senior,9-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-26,High,None,3,9.0
ml engineer,Company_260,healthcare,bangalore,"Linux, Networking, Security",senior,9-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-20,Low,None,3,9.0
backend developer,Company_148,finance,chennai,"Python, SQL, Machine Learning",senior,5-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-13,Medium,None,3,5.0
software developer,Company_484,finance,chennai,"Python, Deep Learning, NLP",fresher,6-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-27,Medium,None,3,6.0
devops engineer,Company_279,e-commerce,pune,"Linux, Networking, Security",fresher,5-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-15,Low,None,3,5.0
data scientist,Company_107,automobile,bangalore,"AWS, Docker, Kubernetes",junior,4-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-09,Medium,Certified Data Scientist,3,4.0
devops engineer,Company_196,automobile,hyderabad,"Python, SQL, Machine Learning",junior,3-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-06,Low,None,3,3.0
backend developer,Company_484,automobile,bangalore,"Python, Deep Learning, NLP",senior,5-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-09,Medium,None,3,5.0
frontend developer,Company_70,education,bangalore,"Python, SQL, Machine Learning",senior,4-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-28,High,None,3,4.0
data scientist,Company_414,it,mumbai,"Java, Spring, Microservices",junior,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-31,High,Certified Data Scientist,3,9.0
ml engineer,Company_301,manufacturing,pune,"Python, Deep Learning, NLP",junior,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-11,Medium,None,3,4.0
data scientist,Company_333,automobile,bangalore,"Python, Data Analysis, Statistics",senior,7-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-21,Medium,Certified Data Scientist,3,7.0
ml engineer,Company_362,telecom,delhi,"Power BI, Excel, SQL",senior,9-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-10,High,None,3,9.0
devops engineer,Company_252,manufacturing,pune,"Java, Spring, Microservices",fresher,9-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-20,Low,None,3,9.0
data scientist,Company_152,healthcare,hyderabad,"Python, SQL, Machine Learning",senior,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-11,Low,Certified Data Scientist,3,4.0
data scientist,Company_181,education,mumbai,"Java, Spring, Microservices",mid,3-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-29,High,Certified Data Scientist,3,3.0
backend developer,Company_474,healthcare,delhi,"JavaScript, React, HTML, CSS",fresher,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-01,High,None,4,10.0
cloud engineer,Company_342,finance,hyderabad,"AWS, Docker, Kubernetes",fresher,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-14,Medium,AWS Certified Solutions Architect,3,5.0
backend developer,Company_182,finance,bangalore,"Python, Deep Learning, NLP",junior,4-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-08,Low,None,3,4.0
cyber security analyst,Company_112,manufacturing,delhi,"AWS, Docker, Kubernetes",senior,4-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-29,High,Cybersecurity Essentials,3,4.0
ai engineer,Company_292,it,delhi,"AWS, Docker, Kubernetes",fresher,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-11,Medium,None,3,6.0
cyber security analyst,Company_371,education,bangalore,"Java, Spring, Microservices",mid,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-07,Low,Cybersecurity Essentials,3,10.0
business analyst,Company_429,telecom,pune,"AWS, Docker, Kubernetes",junior,4-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-18,Low,None,3,4.0
cloud engineer,Company_16,it,mumbai,"Java, Spring, Microservices",junior,5-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-14,Medium,AWS Certified Solutions Architect,3,5.0
ml engineer,Company_318,automobile,pune,"JavaScript, React, HTML, CSS",fresher,4-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-11,High,None,4,4.0
business analyst,Company_177,telecom,hyderabad,"Linux, Networking, Security",mid,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-01,High,None,3,6.0
product manager,Company_180,education,mumbai,"Java, Spring, Microservices",mid,9-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-19,Low,None,3,9.0
software developer,Company_97,healthcare,pune,"Python, Data Analysis, Statistics",junior,5-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-22,Medium,None,3,5.0
cyber security analyst,Company_81,finance,chennai,"Java, Spring, Microservices",fresher,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-17,Medium,Cybersecurity Essentials,3,7.0
devops engineer,Company_229,education,chennai,"Python, SQL, Machine Learning",senior,5-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-15,Medium,None,3,5.0
data scientist,Company_32,finance,bangalore,"AWS, Docker, Kubernetes",fresher,6-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-08,Low,Certified Data Scientist,3,6.0
product manager,Company_352,it,chennai,"JavaScript, React, HTML, CSS",fresher,6-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-16,High,None,4,6.0
ml engineer,Company_117,it,remote,"Java, Spring, Microservices",fresher,7-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-12,Low,None,3,7.0
data scientist,Company_36,automobile,kolkata,"Power BI, Excel, SQL",senior,3-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-13,Low,Certified Data Scientist,3,3.0
backend developer,Company_294,automobile,bangalore,"Python, SQL, Machine Learning",fresher,7-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-03,High,None,3,7.0
data analyst,Company_215,education,delhi,"Java, Spring, Microservices",senior,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-20,Low,Google Data Analytics Certificate,3,4.0
cloud engineer,Company_207,telecom,delhi,"Python, Data Analysis, Statistics",fresher,6-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-02,High,AWS Certified Solutions Architect,3,6.0
ai engineer,Company_333,education,delhi,"Python, Data Analysis, Statistics",junior,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-20,High,None,3,10.0
product manager,Company_268,e-commerce,kolkata,"Python, Data Analysis, Statistics",junior,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-24,Low,None,3,10.0
devops engineer,Company_389,it,remote,"Power BI, Excel, SQL",senior,8-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-06,Low,None,3,8.0
software developer,Company_333,e-commerce,hyderabad,"Python, SQL, Machine Learning",junior,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-21,High,None,3,3.0
ai engineer,Company_37,telecom,chennai,"JavaScript, React, HTML, CSS",senior,5-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-02,Medium,None,4,5.0
devops engineer,Company_332,education,bangalore,"Python, Deep Learning, NLP",senior,7-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-23,Low,None,3,7.0
business analyst,Company_295,telecom,delhi,"Linux, Networking, Security",senior,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-24,Medium,None,3,8.0
ml engineer,Company_112,it,remote,"Python, Deep Learning, NLP",mid,4-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-30,Medium,None,3,4.0
business analyst,Company_238,telecom,kolkata,"Java, Spring, Microservices",junior,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-04,Medium,None,3,6.0
software developer,Company_285,finance,hyderabad,"Python, SQL, Machine Learning",mid,5-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-07,Medium,None,3,5.0
software developer,Company_347,education,delhi,"Python, Data Analysis, Statistics",junior,7-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-24,Low,None,3,7.0
ml engineer,Company_451,it,chennai,"Java, Spring, Microservices",senior,4-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Medium,None,3,4.0
software developer,Company_257,finance,bangalore,"Linux, Networking, Security",mid,3-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-16,Medium,None,3,3.0
cyber security analyst,Company_495,automobile,pune,"Python, Data Analysis, Statistics",mid,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-21,Low,Cybersecurity Essentials,3,7.0
ai engineer,Company_188,manufacturing,mumbai,"Python, SQL, Machine Learning",mid,9-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-04,Low,None,3,9.0
business analyst,Company_238,finance,delhi,"Python, Data Analysis, Statistics",junior,9-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-19,Medium,None,3,9.0
backend developer,Company_56,it,pune,"AWS, Docker, Kubernetes",junior,3-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-18,High,None,3,3.0
cyber security analyst,Company_110,telecom,kolkata,"Power BI, Excel, SQL",mid,5-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-14,Medium,Cybersecurity Essentials,3,5.0
business analyst,Company_90,education,pune,"Python, SQL, Machine Learning",fresher,6-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-20,Medium,None,3,6.0
data scientist,Company_479,automobile,remote,"AWS, Docker, Kubernetes",mid,10-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-23,High,Certified Data Scientist,3,10.0
ml engineer,Company_458,manufacturing,delhi,"JavaScript, React, HTML, CSS",junior,8-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-10,High,None,4,8.0
data scientist,Company_269,it,pune,"JavaScript, React, HTML, CSS",fresher,3-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-02,High,Certified Data Scientist,4,3.0
data scientist,Company_81,telecom,mumbai,"Python, Data Analysis, Statistics",mid,4-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-16,High,Certified Data Scientist,3,4.0
devops engineer,Company_260,it,bangalore,"AWS, Docker, Kubernetes",mid,5-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-14,High,None,3,5.0
data analyst,Company_390,healthcare,mumbai,"Linux, Networking, Security",senior,6-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-21,High,Google Data Analytics Certificate,3,6.0
frontend developer,Company_435,automobile,remote,"Python, Data Analysis, Statistics",senior,3-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-12,Low,None,3,3.0
data scientist,Company_203,it,pune,"Linux, Networking, Security",senior,5-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-14,Low,Certified Data Scientist,3,5.0
data analyst,Company_410,it,pune,"AWS, Docker, Kubernetes",senior,4-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-07,Low,Google Data Analytics Certificate,3,4.0
cyber security analyst,Company_241,manufacturing,remote,"Python, SQL, Machine Learning",senior,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-12,Low,Cybersecurity Essentials,3,5.0
business analyst,Company_36,manufacturing,pune,"JavaScript, React, HTML, CSS",junior,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-05,Low,None,4,10.0
cyber security analyst,Company_93,healthcare,delhi,"AWS, Docker, Kubernetes",junior,5-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-02,Medium,Cybersecurity Essentials,3,5.0
ai engineer,Company_32,automobile,bangalore,"Java, Spring, Microservices",junior,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-12,Medium,None,3,3.0
ml engineer,Company_405,it,bangalore,"Java, Spring, Microservices",senior,3-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-07,High,None,3,3.0
frontend developer,Company_35,healthcare,remote,"Python, Deep Learning, NLP",junior,9-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-13,Low,None,3,9.0
business analyst,Company_337,telecom,chennai,"Python, Deep Learning, NLP",junior,7-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Low,None,3,7.0
frontend developer,Company_334,manufacturing,hyderabad,"Java, Spring, Microservices",senior,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-30,Medium,None,3,9.0
ml engineer,Company_361,automobile,delhi,"Power BI, Excel, SQL",junior,9-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-21,High,None,3,9.0
cloud engineer,Company_104,e-commerce,delhi,"AWS, Docker, Kubernetes",junior,7-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-14,High,AWS Certified Solutions Architect,3,7.0
backend developer,Company_322,education,chennai,"Linux, Networking, Security",senior,8-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-29,Medium,None,3,8.0
ai engineer,Company_482,manufacturing,kolkata,"Python, Deep Learning, NLP",junior,3-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-05,Medium,None,3,3.0
ai engineer,Company_115,telecom,mumbai,"Python, Deep Learning, NLP",fresher,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-28,High,None,3,7.0
cyber security analyst,Company_138,healthcare,mumbai,"Python, SQL, Machine Learning",senior,3-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-01,Medium,Cybersecurity Essentials,3,3.0
data analyst,Company_366,finance,chennai,"Python, Data Analysis, Statistics",senior,4-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-04,High,Google Data Analytics Certificate,3,4.0
devops engineer,Company_337,e-commerce,mumbai,"Linux, Networking, Security",senior,10-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-29,Low,None,3,10.0
business analyst,Company_402,manufacturing,delhi,"Python, Data Analysis, Statistics",senior,4-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-15,Medium,None,3,4.0
data analyst,Company_8,telecom,chennai,"Python, Data Analysis, Statistics",fresher,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-19,Low,Google Data Analytics Certificate,3,4.0
cloud engineer,Company_178,finance,bangalore,"JavaScript, React, HTML, CSS",mid,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-10,High,AWS Certified Solutions Architect,4,6.0
backend developer,Company_173,education,chennai,"AWS, Docker, Kubernetes",fresher,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-03,High,None,3,7.0
data scientist,Company_430,telecom,hyderabad,"JavaScript, React, HTML, CSS",fresher,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-23,Low,Certified Data Scientist,4,5.0
software developer,Company_20,healthcare,chennai,"Power BI, Excel, SQL",senior,4-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-11,High,None,3,4.0
backend developer,Company_474,e-commerce,remote,"AWS, Docker, Kubernetes",fresher,8-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-26,High,None,3,8.0
product manager,Company_232,it,mumbai,"JavaScript, React, HTML, CSS",mid,5-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-19,Low,None,4,5.0
ai engineer,Company_149,education,hyderabad,"Python, Deep Learning, NLP",senior,5-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-24,Medium,None,3,5.0
product manager,Company_215,it,pune,"Linux, Networking, Security",senior,4-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-25,Low,None,3,4.0
product manager,Company_218,finance,remote,"Linux, Networking, Security",senior,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-08,High,None,3,3.0
ml engineer,Company_96,healthcare,kolkata,"Python, Deep Learning, NLP",senior,5-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-10,High,None,3,5.0
devops engineer,Company_463,automobile,mumbai,"Java, Spring, Microservices",senior,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-11,Medium,None,3,6.0
devops engineer,Company_339,telecom,remote,"Python, SQL, Machine Learning",senior,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-16,Medium,None,3,7.0
ml engineer,Company_267,e-commerce,chennai,"Linux, Networking, Security",fresher,4-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-04,Low,None,3,4.0
cyber security analyst,Company_109,finance,chennai,"Python, Data Analysis, Statistics",mid,3-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-15,Low,Cybersecurity Essentials,3,3.0
frontend developer,Company_41,manufacturing,pune,"AWS, Docker, Kubernetes",fresher,10-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-16,Low,None,3,10.0
cyber security analyst,Company_259,automobile,kolkata,"Python, Data Analysis, Statistics",junior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-25,High,Cybersecurity Essentials,3,3.0
cyber security analyst,Company_347,automobile,pune,"AWS, Docker, Kubernetes",senior,10-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-17,Low,Cybersecurity Essentials,3,10.0
backend developer,Company_327,healthcare,bangalore,"Python, Deep Learning, NLP",mid,8-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-12,Medium,None,3,8.0
business analyst,Company_498,telecom,mumbai,"Power BI, Excel, SQL",senior,3-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-24,Medium,None,3,3.0
backend developer,Company_4,automobile,hyderabad,"Python, Data Analysis, Statistics",senior,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-08,High,None,3,10.0
backend developer,Company_270,finance,kolkata,"Power BI, Excel, SQL",junior,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-07,Low,None,3,5.0
devops engineer,Company_81,automobile,bangalore,"JavaScript, React, HTML, CSS",senior,3-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-04,Medium,None,4,3.0
business analyst,Company_291,automobile,mumbai,"AWS, Docker, Kubernetes",senior,9-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-13,High,None,3,9.0
cyber security analyst,Company_414,e-commerce,remote,"AWS, Docker, Kubernetes",junior,4-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-17,High,Cybersecurity Essentials,3,4.0
business analyst,Company_307,telecom,bangalore,"Power BI, Excel, SQL",senior,6-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-22,Medium,None,3,6.0
data scientist,Company_381,manufacturing,pune,"Python, Data Analysis, Statistics",mid,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-28,Medium,Certified Data Scientist,3,6.0
backend developer,Company_72,it,remote,"Linux, Networking, Security",junior,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-11,High,None,3,5.0
data scientist,Company_303,automobile,hyderabad,"Java, Spring, Microservices",junior,9-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-22,Medium,Certified Data Scientist,3,9.0
frontend developer,Company_283,e-commerce,hyderabad,"Linux, Networking, Security",senior,8-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-30,Low,None,3,8.0
product manager,Company_59,education,kolkata,"AWS, Docker, Kubernetes",junior,10-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-24,High,None,3,10.0
data analyst,Company_72,e-commerce,pune,"Python, Deep Learning, NLP",mid,4-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-13,Low,Google Data Analytics Certificate,3,4.0
product manager,Company_12,e-commerce,delhi,"Power BI, Excel, SQL",mid,9-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-23,Medium,None,3,9.0
backend developer,Company_52,education,remote,"Python, Data Analysis, Statistics",fresher,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-29,Medium,None,3,7.0
software developer,Company_288,healthcare,bangalore,"JavaScript, React, HTML, CSS",fresher,8-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-17,Medium,None,4,8.0
ai engineer,Company_319,manufacturing,remote,"Java, Spring, Microservices",junior,4-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-07,Medium,None,3,4.0
business analyst,Company_53,finance,pune,"AWS, Docker, Kubernetes",fresher,7-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-07,Medium,None,3,7.0
frontend developer,Company_38,finance,delhi,"AWS, Docker, Kubernetes",junior,5-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-26,Low,None,3,5.0
frontend developer,Company_475,healthcare,chennai,"JavaScript, React, HTML, CSS",junior,8-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-20,High,None,4,8.0
cloud engineer,Company_404,manufacturing,chennai,"Python, Deep Learning, NLP",senior,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-14,Medium,AWS Certified Solutions Architect,3,4.0
product manager,Company_249,manufacturing,chennai,"Linux, Networking, Security",senior,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-27,High,None,3,8.0
cloud engineer,Company_433,it,pune,"Python, Deep Learning, NLP",mid,5-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-20,High,AWS Certified Solutions Architect,3,5.0
ai engineer,Company_449,healthcare,remote,"Linux, Networking, Security",senior,9-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-18,High,None,3,9.0
ai engineer,Company_37,healthcare,remote,"Python, SQL, Machine Learning",fresher,4-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-05,Medium,None,3,4.0
ai engineer,Company_209,it,bangalore,"Java, Spring, Microservices",senior,8-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-20,Medium,None,3,8.0
software developer,Company_407,manufacturing,hyderabad,"JavaScript, React, HTML, CSS",fresher,10-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-20,Low,None,4,10.0
devops engineer,Company_243,e-commerce,chennai,"Linux, Networking, Security",senior,3-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-02,High,None,3,3.0
product manager,Company_38,e-commerce,kolkata,"Java, Spring, Microservices",mid,5-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-25,Low,None,3,5.0
product manager,Company_92,e-commerce,kolkata,"JavaScript, React, HTML, CSS",junior,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-12,High,None,4,4.0
backend developer,Company_168,telecom,remote,"Linux, Networking, Security",fresher,5-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-22,Low,None,3,5.0
backend developer,Company_183,education,delhi,"Power BI, Excel, SQL",junior,3-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-22,Medium,None,3,3.0
cyber security analyst,Company_454,education,chennai,"Python, Deep Learning, NLP",senior,7-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-28,Low,Cybersecurity Essentials,3,7.0
backend developer,Company_164,manufacturing,mumbai,"Power BI, Excel, SQL",junior,5-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-22,Low,None,3,5.0
product manager,Company_249,manufacturing,bangalore,"Python, SQL, Machine Learning",mid,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-15,Low,None,3,5.0
data scientist,Company_202,it,delhi,"Linux, Networking, Security",senior,7-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-18,Low,Certified Data Scientist,3,7.0
frontend developer,Company_148,education,delhi,"AWS, Docker, Kubernetes",mid,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-16,Low,None,3,10.0
cloud engineer,Company_334,healthcare,mumbai,"Python, SQL, Machine Learning",junior,9-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-12,Low,AWS Certified Solutions Architect,3,9.0
frontend developer,Company_234,finance,kolkata,"Python, SQL, Machine Learning",mid,5-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-16,Medium,None,3,5.0
devops engineer,Company_477,telecom,mumbai,"JavaScript, React, HTML, CSS",mid,3-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-15,Medium,None,4,3.0
devops engineer,Company_456,manufacturing,bangalore,"Power BI, Excel, SQL",junior,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-08,Low,None,3,4.0
product manager,Company_171,it,pune,"Python, Deep Learning, NLP",junior,3-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-30,Low,None,3,3.0
cyber security analyst,Company_381,automobile,bangalore,"Python, SQL, Machine Learning",senior,9-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-28,Low,Cybersecurity Essentials,3,9.0
devops engineer,Company_408,healthcare,hyderabad,"JavaScript, React, HTML, CSS",senior,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-10,Low,None,4,4.0
devops engineer,Company_127,it,pune,"Java, Spring, Microservices",junior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-26,High,None,3,6.0
software developer,Company_102,e-commerce,delhi,"Java, Spring, Microservices",mid,9-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-06,Medium,None,3,9.0
cyber security analyst,Company_393,e-commerce,mumbai,"Python, SQL, Machine Learning",senior,10-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-03,High,Cybersecurity Essentials,3,10.0
backend developer,Company_392,finance,hyderabad,"Python, Deep Learning, NLP",mid,5-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-09,Low,None,3,5.0
backend developer,Company_417,it,remote,"AWS, Docker, Kubernetes",mid,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Low,None,3,7.0
product manager,Company_342,e-commerce,pune,"Java, Spring, Microservices",mid,5-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-16,Medium,None,3,5.0
data analyst,Company_117,education,kolkata,"Python, Data Analysis, Statistics",junior,7-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-07,High,Google Data Analytics Certificate,3,7.0
frontend developer,Company_80,automobile,pune,"Power BI, Excel, SQL",senior,8-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-19,Low,None,3,8.0
frontend developer,Company_268,education,kolkata,"AWS, Docker, Kubernetes",fresher,3-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-19,High,None,3,3.0
ai engineer,Company_120,automobile,chennai,"Python, SQL, Machine Learning",mid,8-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-18,High,None,3,8.0
backend developer,Company_331,finance,hyderabad,"Python, SQL, Machine Learning",senior,8-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-13,Low,None,3,8.0
frontend developer,Company_12,it,hyderabad,"Python, SQL, Machine Learning",junior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-10,High,None,3,6.0
business analyst,Company_251,education,delhi,"Java, Spring, Microservices",junior,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-12,High,None,3,10.0
devops engineer,Company_274,finance,remote,"Linux, Networking, Security",fresher,7-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-22,High,None,3,7.0
cloud engineer,Company_472,healthcare,bangalore,"Java, Spring, Microservices",junior,10-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-25,Low,AWS Certified Solutions Architect,3,10.0
software developer,Company_285,education,remote,"Linux, Networking, Security",junior,8-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-29,Low,None,3,8.0
